code,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
6111266962446,1.32450331125828,Moderate,High Sugar,Yes
6111180003102,0.0,High,Low Sugar,No
7613287431943,0.961538461538462,High,High Sugar,Yes
3229820794525,0.278688524590164,High,High Sugar,Yes
5053990156009,0.025,High,Low Sugar,Yes
3061990143365,0.45,Low,Moderate Sugar,Yes
5025125000150,0.0690537084398977,Moderate,Low Sugar,No
5013665112235,0.142857142857143,Low,Low Sugar,Yes
3045320094008,1.0,High,High Sugar,Yes
5000168036755,0.237421383647799,High,High Sugar,Yes
6111206000696,1.0,High,Moderate Sugar,Yes
3228857001231,0.26530612244898,High,Moderate Sugar,Yes
5000108022152,0.0158730158730159,Moderate,Low Sugar,No
8720182556738,0.769230769230769,Moderate,Low Sugar,No
6153153,0.00759493670886076,High,Low Sugar,No
8410076610737,0.618181818181818,Moderate,Moderate Sugar,Yes
5013665108801,0.513513513513513,Moderate,Low Sugar,No
6111246950845,0.264900662251656,Low,Low Sugar,Yes
20202392,1.0,High,Low Sugar,No
3412290070101,1.0,High,Low Sugar,No
6111162001201,0.0,Low,Low Sugar,Yes
6111250473453,8.2,Low,Low Sugar,Yes
5013665111610,0.0169491525423729,Low,Low Sugar,No
6111251420272,0.271523178807947,Low,Low Sugar,No
3327272107259,0.725,High,Moderate Sugar,No
6111035001383,0.271523178807947,Low,Low Sugar,No
3228857000166,0.130952380952381,High,Moderate Sugar,Yes
7622201133337,0.695410292072323,Moderate,High Sugar,Yes
5010044000701,0.0567010309278351,Low,Low Sugar,Yes
5016084000374,0.0526315789473684,High,Low Sugar,No
8434165466333,0.145,High,Moderate Sugar,Yes
6111259347021,0.560606060606061,High,High Sugar,Yes
6111184000657,0.0033112582781457,High,Low Sugar,Yes
6111259093140,0.271523178807947,High,Low Sugar,Yes
3229820787015,0.3125,Low,Low Sugar,Yes
8410376026962,0.360655737704918,High,High Sugar,Yes
8410376009415,0.00793650793650794,High,Low Sugar,Yes
6111162000723,0.0608669833729216,High,Low Sugar,No
3155251205302,-1.0,High,Low Sugar,Yes
8719200012608,1.0,High,Low Sugar,Yes
5411188116592,0.703703703703704,Low,Low Sugar,Yes
6111242102019,0.388888888888889,Low,Moderate Sugar,Yes
6111180007339,1.00116279069767,High,High Sugar,Yes
3366321051983,-1.0,High,Low Sugar,Yes
8410076601131,0.416796267496112,Moderate,Moderate Sugar,Yes
90338243,1.0,Low,Moderate Sugar,Yes
5060337220415,0.583333333333333,Moderate,Moderate Sugar,No
6111032002925,1.0,Low,Moderate Sugar,Yes
5025125000105,0.0382978723404255,High,Low Sugar,No
6111242380219,0.894736842105263,High,High Sugar,Yes
3175680011534,0.323076923076923,High,High Sugar,Yes
5411188119098,0.916666666666667,Low,Low Sugar,Yes
3229820782560,0.216666666666667,High,Moderate Sugar,No
4014400400007,0.828522920203735,High,High Sugar,Yes
680569854124,0.231884057971014,Moderate,Low Sugar,Yes
6111028000980,0.571428571428571,High,Low Sugar,Yes
8410076601148,0.435772357723577,High,High Sugar,Yes
4088600327587,0.0332594235033259,High,Low Sugar,Yes
3504182960123,0.271523178807947,High,Low Sugar,No
3175681105423,0.0,High,Low Sugar,Yes
8720182460721,0.740740740740741,Moderate,Low Sugar,No
5036589255598,1.0,Low,Low Sugar,No
5201054017418,1.0,Low,Low Sugar,No
5060228323799,0.0571428571428571,High,Low Sugar,Yes
6111266960336,0.0,High,Low Sugar,Yes
3159470000120,0.0952380952380952,High,Moderate Sugar,No
5410126716016,0.524793388429752,High,High Sugar,No
5059697710001,0.92817679558011,High,High Sugar,No
3392460480827,0.0507462686567164,High,Low Sugar,Yes
3175680011442,0.272727272727273,High,High Sugar,Yes
5000168198491,0.237421383647799,High,High Sugar,Yes
16811207,0.433333333333333,High,High Sugar,Yes
1318180,0.12280701754386,High,Low Sugar,Yes
3229820021027,0.285714285714286,High,High Sugar,Yes
3068320120256,-1.0,Low,Low Sugar,No
7394376616501,0.47887323943662,Low,Low Sugar,No
3046920029674,0.96,High,High Sugar,Yes
6111099000247,-1.0,High,Low Sugar,Yes
3017620421006,0.979130434782609,High,High Sugar,Yes
8076800195057,0.0492957746478873,High,Low Sugar,No
3046920010047,0.708333333333333,Moderate,Low Sugar,No
