energy_kcal,energy_kj,carbohydrates,sugars,fat,saturated_fat,proteins,fiber,salt,sodium,nova_group,nutrition_score,fruits_veg_nuts_percent,brands,code,product_name
15.0,,3.5,3.4,0.0,,0.2,,0.148125,0.05925,3.0,9.0,62.168,Heinz,50457236,Tomato Ketchup
482.0,2021.0,67.0,7.1,19.0,9.0,8.3,2.4,1.7,0.68,4.0,24.0,0.0,"LU, Mondel?z, Tuc, Mondelez",5410041001204,Original
0.0,,,,,,,,0.75,0.3,1.0,0.0,0.0,,6111251420135,Aïn Ifrane
392.0,,97.6,89.4,0.0,0.0,0.0,0.6,0.0,0.0,2.0,19.0,0.0,Idéal,6111180000392,
539.0,2252.0,57.5,56.3,30.9,10.6,6.3,,0.107,0.0428,4.0,31.0,13.0,"Ferrero, Nutella",3017620429484,Nutella
410.0,1717.0,55.0,39.0,20.0,12.0,4.0,1.8,0.51,0.204,4.0,28.0,0.0,"Bimo,Mondelez",6111031005552,Merendino
515.0,2158.0,64.0,35.8,24.8,11.5,7.9,,0.559,0.2236,4.0,28.0,13.0,"Nutella,Ferrero",8000500310427,Biscuits croquants au coeur onctueux de Nutella®
95.5,,14.0,9.0,2.8,1.9,3.5,2.0,0.0,0.0,,3.0,0.0,Danone,6111032001010,DANONE ASSIL BANANE
675.0,2826.0,0.2,0.0,75.0,34.0,0.1,0.0,0.5,0.2,4.0,18.0,0.0,Lilia,6111099005396,مارغرين المائدة
515.0,,63.0,61.0,26.0,7.74,7.1,1.0,0.245,0.098,4.0,16.0,0.0,Poulain,16256866,1848 Chocolat en poudre
225.0,,6.9,0.0,19.0,13.0,6.5,0.0,0.76,0.304,4.0,13.0,0.0,"Centrale, Danone, Jebli",6111206000733,Jebli
244.0,,60.5,50.0,0.0,0.0,0.44,0.0,0.25,0.1,4.0,17.0,50.0,el baraka,6111184000213,El Baraka Confiture D'abricots 430 G
0.0,0.0001,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,"Nestlé,Nestlé Waters,San Pellegrino",8002270014901,S. Pellegrino Water
539.0,2252.0,57.5,56.3,30.9,10.6,6.3,3.5,0.107,0.0428,4.0,30.0,13.0,"Ferrero,Nutella",59032823,nutella
8.0,,1.2,1.2,0.2,0.1,0.1,,0.025,0.01,,,0.0,Nescafe,6111018501480,Nescafé
485.0,2037.0,0.0,0.0,55.0,14.0,0.0,0.0,0.4,0.16,4.0,8.0,49.1083333333333,Primevère,3155250358788,Primevère bio doux tartine & cuisson
240.0,1011.0,30.8,4.0,8.3,0.9,9.6,,43.8,17.52,3.0,,7.38525390625001,Marigold,50160884,Vegan Bouillon powder reduced salt
452.0,2122.0,55.0,0.0,23.0,0.0,6.0,,0.0,0.0,4.0,4.0,0.0,EXCELO,6111259340992,Eyoo cover
75.3,,13.58,13.5,1.38,0.8,2.48,0.0,0.0,0.0,,12.0,0.0,Jaouda,6111242100930,raibi jaoda
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.5,5.0,4.0,0.0,0.0,"Danone,La Salvetat",3068320123264,La salvetat
119.0,4.0,14.3,9.0,5.0,4.2,4.2,0.0,0.0,0.0,3.0,5.0,0.0,"Tendre, jouda",6111242102781,Tendre nature
158.0,,5.8,5.5,12.5,8.4,5.1,0.6,0.1275,0.051,1.0,7.0,0.0,Milbona Lidl,4056489148739,NATURAL YOGURT
140.0,584.0,16.1,9.0,7.0,4.0,3.3,,0.0,0.0,3.0,5.0,8.0,Jaouda,6111242103702,Yaourt Grec Muesli
388.0,1631.0,75.0,2.6,2.8,0.6,13.4,4.4,0.68,0.272,3.0,0.0,0.0,"Ekibio,Le pain des Fleurs",06175700,Tartines craquantes au sarrasin imp
37.0,,7.1,0.3,0.12,0.02,1.1,1.52,0.074,0.0296,3.0,-2.0,0.0,Ryvita,5010265002911,Dark Rye Crispbread
132.2,554.1,12.3,8.6,6.3,4.3,6.5,,0.07,0.028,,5.0,0.0,Danone,6111032008453,Danino
0.2,0.9,0.0,,0.0,,0.0,,0.02,0.008,4.0,4.0,0.0,Coca-Cola,5449000131805,Coca-Cola Zero
614.0,2545.0,20.0,15.0,49.0,9.0,21.0,4.4,0.7,0.28,4.0,9.0,81.0,Andros,3608580124047,Be Nuts ! - Pâte à tartiner Cacahuète
520.0,2177.0,38.9,1.65,29.0,3.36,24.6,2.7,0.059,0.0236,3.0,-5.0,0.0,,6111214004747,Pipas
453.0,1902.0,62.0,11.0,17.0,1.5,9.8,6.6,0.01,0.004,4.0,1.0,26.35,Gerblé,3175681851849,Pomme 🍏 🍎 Noisette🥜
44.0,185.0,10.9,10.9,0.0,,0.0,,,,4.0,,0.0,Coca-Cola,54491472,"coca cola 0,5"
744.0,3060.0,0.8,0.8,82.0,57.0,0.7,0.0,0.05,0.02,2.0,20.0,0.0,"Elle & Vire, Savencia",3451790988677,Le Beurre Tendre Doux
362.0,1531.0,69.0,4.2,2.0,0.6,12.0,10.0,0.28,0.112,3.0,-3.0,0.0,Weetabix,5010029000801,Family Pack
45.0,,4.8,0.0,1.3,0.9,3.2,0.0,0.0,0.0,,-4.0,0.0,Jaouda,6111242101050,LBEN CARTON PASTEURISER
149.0,,23.5,0.3,2.8,0.5,5.4,4.0,0.01,0.004,1.0,-5.0,0.0,CROWNFIELD,20003166,Aveia em flocos finos Lidl
7.0,27.0,0.7,0.3,0.4,0.2,0.0,0.01,0.9,0.36,3.0,,6.8,Kallø,5013665112273,Organic Vegetable Stock Cubes
46.0,194.0,4.9,0.0,1.5,1.0,3.0,,0.0,0.0,1.0,-3.0,0.0,Albane,6111250012416,Le bon lait
45.0,,6.3,3.2,1.5,0.2,0.8,1.4,0.0002,8e-05,4.0,5.0,0.0,Alpro,5411188115366,Oat
212.954110898662,,6.1,1.6,12.4,6.3,18.6,1.5,0.885,0.354,,,62.5,Wicked Kitchen,10596975,4 Garlic & Herb Kebabs
534.0,,54.0,54.0,32.1,32.1,5.2,,2.0,0.8,4.0,40.0,0.0,Aperitivos company,6111252860077,Trios
,,,,,,,,,,,,0.0,,6111245591063,Dalaa 550 feuilles
45.0,189.0,4.9,0.0,1.5,1.0,3.1,,0.0,0.0,,-4.0,0.0,Jaouda,6111242100817,Le Lait demi écrémé
68.0,,4.0,3.4,5.0,3.1,1.1,1.5,0.01,0.004,4.0,19.0,0.0,"J.D. Gross,Lidl",20095291,Dark Chocolate 70%
362.0,1524.0,58.0,1.7,7.1,1.3,11.0,11.0,0.02,0.008,1.0,-4.0,0.0,Bjorg,3229820019307,Flocons d'avoine
144.359464627151,,1.1,0.1,7.8,1.2,16.5,1.9,0.06,0.024,3.0,-4.0,36.0,The Tofoo Co.,5034467000216,Tofoo Naked
533.333333333333,,57.3333333333333,56.0,30.6666666666667,10.6666666666667,6.0,0.0,1066.66666666667,426.666666666668,4.0,36.0,13.0,Ferrero,80176800,
59.0,,4.9,0.0,3.0,0.0,3.1,,0.0,0.0,1.0,-2.0,0.0,Chergui,6111126003821,Lait Frais 15 jours
0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,Bahia,6111035003509,"Bahia, Eau De Table"
85.0,,4.5,2.9,0.3,0.2,16.0,,1.2775,0.511,3.0,1.0,0.0,Elle & Vire,3480341000674,Carré Frais
635.0,,0.7,0.0,70.0,0.0,1.0,,0.0,0.0,4.0,0.0,0.0,margafrique,6111203001474,La prairie classique
196.2,,27.0,11.295,7.605,0.9,3.6,2.7,0.3555,0.1422,4.0,13.0,0.0,Nature Valley,8410076801180,Crunchy oats & honey
80.0,,8.6,8.4,4.6,1.6,0.9,,0.015,0.006,4.0,31.0,13.0,Ferrero,4008400401621,nutella
58.0,,,4.8,3.0,2.0,3.0,,,,,,0.0,,6111032000631,Salim
572.0,2384.0,49.5,41.2,37.3,17.3,8.6,2.0,0.272,0.1088,4.0,30.0,10.5,"Kinder,Kinder Bueno",80052760,2 Bars Milk and Hazelnuts
106.0,4.0,16.0,7.5,3.0,2.2,3.5,1.1,0.0,0.0,4.0,3.0,0.0,Jaouda,6111242102002,Ghilal Yaourt zr3
450.0,1883.0,54.0,16.0,19.0,1.7,9.3,13.0,0.19,0.076,4.0,2.0,16.3,Gerblé,3251490332080,Figue & son
323.0,1356.0,12.0,1.2,4.6,0.8,46.0,25.0,0.32,0.128,1.0,,0.0,Gerblé,3175680015228,Levure de bière
433.0,,62.0,14.0,14.0,3.8,9.8,9.8,0.28,0.112,4.0,7.0,0.21875,Bjorg,3229820160672,Croustillant Chocolat
0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.008,4.0,4.0,0.0,Coca-Cola,5449000133328,
1.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.05,0.02,4.0,4.0,0.0,Coca-Cola,5449000131836,Zero Sugar
268.0,1131.0,47.0,6.3,4.2,0.4,8.1,4.9,1.1,0.44,4.0,4.0,3.15,"La Boulangère,La Boulangère Bio",3760049790214,Pain De Mie Bio
210.0,886.0,38.0,3.9,1.8,0.3,5.8,9.3,1.0,0.4,4.0,0.0,0.0,"Lidl, Rowan Hill Bakery, Lidl Rowan Hill Bakery, Lidl Tastino",20006105,Wholegrain Rye Bread
282.5,,4.5,0.2,25.5,14.5,7.0,,0.03,0.012,3.0,13.0,0.0,Lindt&Sprüngli,3046920028721,Bitter Extra Kraftig
122.0,,18.5,1.7,2.9,0.3,4.4,2.3,,,4.0,,1.39285714285714,Hovis,5010003064744,Seed Sensations
227.0,950.0,0.0,0.0,15.0,3.5,23.0,,1.2,0.48,3.0,28.0,13.2325,Parmentier,3019081238643,Sardines Huile d'Olive Vierge Extra
42.0,,10.6,10.6,0.0,,0.0,,0.03,0.012,4.0,12.0,0.0,Coca-Cola,5449000000439,Coca-Cola
